"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
0.1632653061224492, -0.9473684210526316, -0.1, 23, 5, 0, 0, 0, 0
0.3877551020408161, -0.9473684210526316, -0.1, 24, 5, 0, 0, 0, 0
0.6122448979591839, -0.9473684210526316, -0.1, 25, 5, 0, 0, 0, 0
0.8367346938775517, -0.9473684210526316, -0.1, 26, 5, 0, 0, 0, 0
1.061224489795918, -0.9473684210526316, -0.1, 27, 5, 0, 0, 0, 0
1.285714285714286, -0.9473684210526316, -0.1, 28, 5, 0, 0, 0, 0
1.510204081632653, -0.9473684210526316, -0.1, 29, 5, 0, 0, 0, 0
1.73469387755102, -0.9473684210526316, -0.1, 30, 5, 0, 0, 0, 0
1.959183673469388, -0.9473684210526316, -0.1, 31, 5, 0, 0, 0, 0
2.183673469387754, -0.9473684210526316, -0.1, 32, 5, 0, 0, 0, 0
2.408163265306122, -0.9473684210526316, -0.1, 33, 5, 0, 0, 0, 0
2.63265306122449, -0.9473684210526316, -0.1, 34, 5, 0, 0, 0, 0
2.857142857142858, -0.9473684210526316, -0.1, 35, 5, 0, 0, 0, 0
3.081632653061225, -0.9473684210526316, -0.1, 36, 5, 0, 0, 0, 0
3.306122448979592, -0.9473684210526316, -0.1, 37, 5, 0, 0, 0, 0
3.530612244897959, -0.9473684210526316, -0.1, 38, 5, 0, 0, 0, 0
3.755102040816327, -0.9473684210526316, -0.1, 39, 5, 0, 0, 0, 0
3.979591836734695, -0.9473684210526316, -0.1, 40, 5, 0, 0, 0, 0
4.204081632653061, -0.9473684210526316, -0.1, 41, 5, 0, 0, 0, 0
4.428571428571429, -0.9473684210526316, -0.1, 42, 5, 0, 0, 0, 0
4.653061224489795, -0.9473684210526316, -0.1, 43, 5, 0, 0, 0, 0
4.877551020408163, -0.9473684210526316, -0.1, 44, 5, 0, 0, 0, 0
5.102040816326531, -0.9473684210526316, -0.1, 45, 5, 0, 0, 0, 0
5.326530612244898, -0.9473684210526316, -0.1, 46, 5, 0, 0, 0, 0
5.551020408163264, -0.9473684210526316, -0.1, 47, 5, 0, 0, 0, 0
5.775510204081632, -0.9473684210526316, -0.1, 48, 5, 0, 0, 0, 0
6, -0.9473684210526316, -0.1, 49, 5, 0, 0, 0, 0
-5, -0.736842105263158, -0.1, 0, 6, 0, 0, 0, 0
-4.775510204081633, -0.736842105263158, -0.1, 1, 6, 0, 0, 0, 0
-4.551020408163265, -0.736842105263158, -0.1, 2, 6, 0, 0, 0, 0
-4.326530612244898, -0.736842105263158, -0.1, 3, 6, 0, 0, 0, 0
-4.102040816326531, -0.736842105263158, -0.1, 4, 6, 0, 0, 0, 0
-3.877551020408163, -0.736842105263158, -0.1, 5, 6, 0, 0, 0, 0
-3.653061224489796, -0.736842105263158, -0.1, 6, 6, 0, 0, 0, 0
-3.428571428571429, -0.736842105263158, -0.1, 7, 6, 0, 0, 0, 0
-3.204081632653061, -0.736842105263158, -0.1, 8, 6, 0, 0, 0, 0
-2.979591836734694, -0.736842105263158, -0.1, 9, 6, 0, 0, 0, 0
-2.755102040816326, -0.736842105263158, -0.1, 10, 6, 0, 0, 0, 0
-2.530612244897959, -0.736842105263158, -0.1, 11, 6, 0, 0, 0, 0
-2.306122448979592, -0.736842105263158, -0.1, 12, 6, 0, 0, 0, 0
-2.081632653061224, -0.736842105263158, -0.1, 13, 6, 0, 0, 0, 0
-1.857142857142857, -0.736842105263158, -0.1, 14, 6, 0, 0, 0, 0
-1.63265306122449, -0.736842105263158, -0.1, 15, 6, 0, 0, 0, 0
-1.408163265306123, -0.736842105263158, -0.1, 16, 6, 0, 0, 0, 0
-1.183673469387755, -0.736842105263158, -0.1, 17, 6, 0, 0, 0, 0
-0.9591836734693873, -0.736842105263158, -0.1, 18, 6, 0, 0, 0, 0
-0.7346938775510203, -0.736842105263158, -0.1, 19, 6, 0, 0, 0, 0
-0.5102040816326525, -0.736842105263158, -0.1, 20, 6, 0, 0, 0, 0
-0.2857142857142856, -0.736842105263158, -0.1, 21, 6, 0, 0, 0, 0
-0.06122448979591866, -0.736842105263158, -0.1, 22, 6, 0, 0, 0, 0
0.1632653061224492, -0.736842105263158, -0.1, 23, 6, 0, 0, 0, 0
0.3877551020408161, -0.736842105263158, -0.1, 24, 6, 0, 0, 0, 0
0.6122448979591839, -0.736842105263158, -0.1, 25, 6, 0, 0, 0, 0
0.8367346938775517, -0.736842105263158, -0.1, 26, 6, 0, 0, 0, 0
1.061224489795918, -0.736842105263158, -0.1, 27, 6, 0, 0, 0, 0
1.285714285714286, -0.736842105263158, -0.1, 28, 6, 0, 0, 0, 0
1.510204081632653, -0.736842105263158, -0.1, 29, 6, 0, 0, 0, 0
1.73469387755102, -0.736842105263158, -0.1, 30, 6, 0, 0, 0, 0
1.959183673469388, -0.736842105263158, -0.1, 31, 6, 0, 0, 0, 0
2.183673469387754, -0.736842105263158, -0.1, 32, 6, 0, 0, 0, 0
2.408163265306122, -0.736842105263158, -0.1, 33, 6, 0, 0, 0, 0
2.63265306122449, -0.736842105263158, -0.1, 34, 6, 0, 0, 0, 0
2.857142857142858, -0.736842105263158, -0.1, 35, 6, 0, 0, 0, 0
3.081632653061225, -0.736842105263158, -0.1, 36, 6, 0, 0, 0, 0
3.306122448979592, -0.736842105263158, -0.1, 37, 6, 0, 0, 0, 0
3.530612244897959, -0.736842105263158, -0.1, 38, 6, 0, 0, 0, 0
3.755102040816327, -0.736842105263158, -0.1, 39, 6, 0, 0, 0, 0
3.979591836734695, -0.736842105263158, -0.1, 40, 6, 0, 0, 0, 0
4.204081632653061, -0.736842105263158, -0.1, 41, 6, 0, 0, 0, 0
4.428571428571429, -0.736842105263158, -0.1, 42, 6, 0, 0, 0, 0
4.653061224489795, -0.736842105263158, -0.1, 43, 6, 0, 0, 0, 0
4.877551020408163, -0.736842105263158, -0.1, 44, 6, 0, 0, 0, 0
5.102040816326531, -0.736842105263158, -0.1, 45, 6, 0, 0, 0, 0
